retired_dataset_id,retired_name,replacement_dataset_id,replacement_name,replacement_path
ord_dataset-520610070b3c4780a03b44c7fcecc28f,uspto-grants-1980_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-10f2568b472a4cabb35c3f313a159005,uspto-grants-1980_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b9d8ddf9c2884d40859b6b5f24815a7d,uspto-grants-1980_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8868acadaee548d5802e504148fc3b63,uspto-grants-1981_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-8c94910e81cc4281bd57a58ce657576f,uspto-grants-1981_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-0c37e633e9814a6e886187796cacf216,uspto-grants-1981_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-2d589ad46f82417ab9ddc07f7655411c,uspto-grants-1981_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-f196f0a87dd74fcd82ca019f8ff5cf9c,uspto-grants-1981_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b1023e5ccd7142de9d250aa2e3e124db,uspto-grants-1981_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-7bed824f566d4af0b51d74d386b14bd6,uspto-grants-1981_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-50c29bf1847c44f4b40bfab5f46fe5fe,uspto-grants-1981_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-a0b0a122a04c40798e0535b968adcf6e,uspto-grants-1981_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-4a4f564f09ba483589e09e154ad32acf,uspto-grants-1981_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-6dbd68e494f94ae796187f53698183da,uspto-grants-1981_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-aeb5378e6e67443e8a4f5c7a5ec3de51,uspto-grants-1981_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-6ba93916f2ad4247804469d8c2600b26,uspto-grants-1982_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-90c12c4a89ae46d88aea27f4e37ba124,uspto-grants-1982_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-dba7c8cf38834984ba5e6376158f46fe,uspto-grants-1982_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-f0d0fe3f599c471ca1c011dbbcdeeff2,uspto-grants-1982_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-62e11cab5a6e47d89878616c244e20ef,uspto-grants-1982_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-6f715747ea754945a2f0af4a8482c7d2,uspto-grants-1982_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-be22f1f5114b4ebfb8d447c93d62d62c,uspto-grants-1982_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-0bf72e95d80743729fdbb8b57a4bc0c6,uspto-grants-1982_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b37811c5ed724c3b844cc4d2b5640398,uspto-grants-1982_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-10360c60962940178e4bf05e54b1655c,uspto-grants-1982_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-e984b2d4813f44d59867e1771acc9b66,uspto-grants-1982_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d06b137b66b3478fb6a0d41a5efd32f8,uspto-grants-1982_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-72d9f7ef86df410fac4765c9632d459b,uspto-grants-1983_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-bdb961f26fac426eaa2de8f54a284acf,uspto-grants-1983_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-1c61a371eaf841328cc190a0356d6b3b,uspto-grants-1983_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-b2a00a09c8494aaf9348c3a3af29d26e,uspto-grants-1983_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-4ac1b977dc504cb5a6a8e85d7d777c45,uspto-grants-1983_05,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-e7e9fe3dd42b4f499d5b17fe63bbf336,uspto-grants-1983_06,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-64bb36b111c249e0afcce8c5ad9cdbd0,uspto-grants-1983_07,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-29d79fca4cec4a43b773d0ba25b27651,uspto-grants-1983_08,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d9235b0d1f9f4e85b2690ee8f860dc30,uspto-grants-1983_09,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-406d20cb3f314e2c967b14f55925f895,uspto-grants-1983_10,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-ac04cf1ba5724e9b93d39b77e9740b21,uspto-grants-1983_11,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-5237a168f9214b7ca3db5a1dc3e62d07,uspto-grants-1983_12,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-f3b9c7d90d3648ff8136643f634ef2f0,uspto-grants-1984_01,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-87aeeef7c91d4312a992c5cea936705c,uspto-grants-1984_02,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-d182ca8cf3f34de69c7a38343db8c930,uspto-grants-1984_03,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-19041548671f410397ce7f00536a9be3,uspto-grants-1984_04,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
